Tree	Validity	Type	Sequence_MA	Sequence_MM	Sequence_AD	Sequence_MU	Shape
ENSGT00390000010215	valid	1	APAMA00000023867	APAMM00000022714	APAAD00000018245	APAMU00000019515	(MA,(MM,(AD,MU)));
ENSGT00390000010215	valid	1	APAMA00000023878	APAMM00000022708	APAAD00000018248	APAMU00000019517	(MA,(MM,(AD,MU)));
ENSGT00730000111323	valid	1	APAMA00000066592	APAMM00000063772	APAAD00000051446	APAMU00000055104	(MA,(MM,(AD,MU)));
ENSGT00390000016313	valid	1	TRAMA00000006399	APAMM00000011992	APAAD00000009711	APAMU00000010453	(MA,(MM,(AD,MU)));
ENSGT00390000016313	valid	1	APAMA00000012658	TRAMM00000006190	TRAAD00000005457	APAMU00000010446	(MA,(MM,(AD,MU)));
ENSGT00390000007239	valid	1	APAMA00000009182	APAMM00000008812	APAAD00000007013	APAMU00000007593	(MA,(MM,(AD,MU)));
ENSGT00390000007239	valid	1	APAMA00000009186	APAMM00000008804	APAAD00000007020	TRAMU00000004494	(MA,(MM,(AD,MU)));
ENSGT00490000043472	valid	1	APAMA00000061453	APAMM00000058867	APAAD00000047608	APAMU00000050857	(MA,(MM,(AD,MU)));
ENSGT00390000010512	valid	1	APAMA00000055493	APAMM00000053094	APAAD00000042837	APAMU00000045851	(MA,(MM,(AD,MU)));
ENSGT00890000139451	valid	1	APAMA00000014206	APAMM00000013391	APAAD00000010869	APAMU00000011609	(MA,(MM,(AD,MU)));
ENSGT00890000139451	valid	1	TRAMA00000007092	APAMM00000013393	TRAAD00000006064	APAMU00000011611	(MA,(MM,(AD,MU)));
ENSGT00390000010026	valid	1	APAMA00000052747	APAMM00000050432	APAAD00000040636	APAMU00000043484	(MA,(MM,(AD,MU)));
ENSGT00390000010026	valid	-7	APAMA00000052752	APAMM00000050438	APAAD00000040645	APAMU00000043490	(MU,(MA,(AD,MM)));
ENSGT00390000010026	valid	1	APAMA00000052740	APAMM00000050445	APAAD00000040639	APAMU00000043482	(MA,(MM,(AD,MU)));
ENSGT00390000007801	valid	1	APAMA00000025523	TRAMM00000012481	APAAD00000019476	TRAMU00000012002	(MA,(MM,(AD,MU)));
ENSGT00390000008240	valid	1	APAMA00000033864	APAMM00000032141	APAAD00000025902	APAMU00000027734	(MA,(MM,(AD,MU)));
ENSGT00530000063143	valid	1	APAMA00000025164	APAMM00000023913	APAAD00000019237	APAMU00000020576	(MA,(MM,(AD,MU)));
ENSGT00530000063143	valid	1	APAMA00000025159	APAMM00000023907	APAAD00000019238	TRAMU00000011812	(MA,(MM,(AD,MU)));
ENSGT00450000040638	valid	1	APAMA00000012562	APAMM00000011918	APAAD00000009651	APAMU00000010376	(MA,(MM,(AD,MU)));
ENSGT00390000002625	valid	1	APAMA00000003063	APAMM00000003011	APAAD00000002456	TRAMU00000001512	(MA,(MM,(AD,MU)));
ENSGT00390000014423	valid	1	TRAMA00000014239	APAMM00000026434	APAAD00000021254	APAMU00000022841	(MA,(MM,(AD,MU)));
ENSGT00390000015369	valid	1	APAMA00000044442	APAMM00000042361	APAAD00000034083	APAMU00000036488	(MA,(MM,(AD,MU)));
ENSGT00390000017041	valid	1	APAMA00000027425	APAMM00000025928	APAAD00000020881	TRAMU00000012957	(MA,(MM,(AD,MU)));
ENSGT00860000133716	valid	1	APAMA00000025783	APAMM00000024434	TRAAD00000011139	APAMU00000021063	(MA,(MM,(AD,MU)));
ENSGT00860000133716	valid	1	APAMA00000025757	APAMM00000024433	APAAD00000019643	APAMU00000021061	(MA,(MM,(AD,MU)));
ENSGT00860000133716	valid	1	APAMA00000025767	APAMM00000024435	APAAD00000019645	APAMU00000021064	(MA,(MM,(AD,MU)));
ENSGT00860000133716	valid	-1	APAMA00000025761	APAMM00000024444	APAAD00000019648	APAMU00000021069	((AD,MM),(MA,MU));
ENSGT00530000063508	valid	1	TRAMA00000019982	TRAMM00000005188	APAAD00000045927	APAMU00000049151	(MA,(MM,(AD,MU)));
ENSGT00530000063508	valid	1	APAMA00000059335	APAMM00000056808	APAAD00000045925	APAMU00000049143	(MA,(MM,(AD,MU)));
ENSGT00530000063508	valid	1	APAMA00000059324	APAMM00000056817	APAAD00000045916	APAMU00000049139	(MA,(MM,(AD,MU)));
ENSGT00390000008142	valid	1	APAMA00000018184	APAMM00000017182	APAAD00000013883	APAMU00000014807	(MA,(MM,(AD,MU)));
ENSGT00390000008142	valid	1	TRAMA00000009076	APAMM00000017178	TRAAD00000006854	APAMU00000014811	(MA,(MM,(AD,MU)));
ENSGT00390000007888	valid	1	APAMA00000033552	APAMM00000031859	TRAAD00000014662	TRAMU00000016061	(MA,(MM,(AD,MU)));
ENSGT00390000016020	valid	1	APAMA00000060981	APAMM00000058399	APAAD00000047238	APAMU00000050490	(MA,(MM,(AD,MU)));
ENSGT00390000013132	valid	1	APAMA00000034649	APAMM00000032839	TRAAD00000015138	APAMU00000028308	(MA,(MM,(AD,MU)));
ENSGT00390000012618	valid	1	APAMA00000004913	APAMM00000004792	APAAD00000003885	APAMU00000004051	(MA,(MM,(AD,MU)));
ENSGT00390000012618	valid	1	APAMA00000004927	APAMM00000004785	APAAD00000003889	APAMU00000004055	(MA,(MM,(AD,MU)));
ENSGT00390000012618	valid	1	APAMA00000004914	APAMM00000004793	TRAAD00000002227	APAMU00000004072	(MA,(MM,(AD,MU)));
ENSGT00390000007249	valid	1	APAMA00000040427	APAMM00000038398	TRAAD00000019608	APAMU00000033179	(MA,(MM,(AD,MU)));
ENSGT00550000074532	valid	1	APAMA00000016786	APAMM00000015894	APAAD00000012804	APAMU00000013654	(MA,(MM,(AD,MU)));
ENSGT00550000074532	valid	1	APAMA00000016793	APAMM00000015900	APAAD00000012815	APAMU00000013631	(MA,(MM,(AD,MU)));
ENSGT00550000074532	valid	1	APAMA00000016800	TRAMM00000008217	TRAAD00000012443	APAMU00000013636	(MA,(MM,(AD,MU)));
ENSGT00550000074532	valid	1	APAMA00000016788	TRAMM00000008210	APAAD00000012801	APAMU00000013625	(MA,(MM,(AD,MU)));
ENSGT00550000074532	valid	1	APAMA00000016808	TRAMM00000008214	APAAD00000012824	APAMU00000013647	(MA,(MM,(AD,MU)));
ENSGT00550000074532	valid	1	APAMA00000016819	APAMM00000015911	APAAD00000012832	APAMU00000013650	(MA,(MM,(AD,MU)));
ENSGT00390000004214	valid	1	APAMA00000050953	APAMM00000048746	TRAAD00000022253	APAMU00000041990	(MA,(MM,(AD,MU)));
ENSGT00510000047831	valid	1	APAMA00000000498	APAMM00000000511	APAAD00000000385	APAMU00000000435	(MA,(MM,(AD,MU)));
ENSGT00390000000592	valid	1	APAMA00000040382	APAMM00000038356	TRAAD00000017549	APAMU00000033152	(MA,(MM,(AD,MU)));
ENSGT00390000007779	valid	1	APAMA00000000245	APAMM00000000263	APAAD00000000195	APAMU00000000192	(MA,(MM,(AD,MU)));
ENSGT00390000003646	valid	1	APAMA00000065995	APAMM00000063208	APAAD00000051002	APAMU00000054635	(MA,(MM,(AD,MU)));
ENSGT00390000003646	valid	1	APAMA00000065999	APAMM00000063212	APAAD00000051011	APAMU00000054633	(MA,(MM,(AD,MU)));
ENSGT00390000003646	valid	1	APAMA00000065990	APAMM00000063217	TRAAD00000026592	APAMU00000054621	(MA,(MM,(AD,MU)));
ENSGT00390000007643	valid	1	APAMA00000007466	APAMM00000007264	APAAD00000005808	APAMU00000006225	(MA,(MM,(AD,MU)));
ENSGT00390000004228	valid	1	APAMA00000059222	APAMM00000056733	APAAD00000045820	APAMU00000049040	(MA,(MM,(AD,MU)));
ENSGT00390000013285	valid	1	APAMA00000034559	APAMM00000032767	APAAD00000026440	APAMU00000028249	(MA,(MM,(AD,MU)));
ENSGT00390000020210	valid	1	APAMA00000028020	APAMM00000026522	APAAD00000021332	TRAMU00000002206	(MA,(MM,(AD,MU)));
ENSGT00390000020210	valid	1	APAMA00000028010	APAMM00000026532	APAAD00000021324	APAMU00000022899	(MA,(MM,(AD,MU)));
ENSGT00390000020210	valid	1	APAMA00000028014	TRAMM00000002369	TRAAD00000002082	APAMU00000022908	(MA,(MM,(AD,MU)));
ENSGT00390000000083	valid	1	APAMA00000007957	APAMM00000007716	APAAD00000006186	TRAMU00000022017	(MA,(MM,(AD,MU)));
ENSGT00390000000083	valid	1	APAMA00000007965	APAMM00000007717	TRAAD00000003511	APAMU00000006649	(MA,(MM,(AD,MU)));
ENSGT00550000074878	valid	1	APAMA00000045654	APAMM00000043505	APAAD00000035016	APAMU00000037624	(MA,(MM,(AD,MU)));
ENSGT00730000111015	valid	1	TRAMA00000027215	APAMM00000050136	APAAD00000040394	TRAMU00000025218	(MA,(MM,(AD,MU)));
ENSGT00390000016730	valid	1	APAMA00000033944	APAMM00000032214	APAAD00000025969	APAMU00000027802	(MA,(MM,(AD,MU)));
ENSGT00390000000707	valid	1	APAMA00000008638	TRAMM00000004363	APAAD00000006651	APAMU00000007191	(MA,(MM,(AD,MU)));
ENSGT00550000074997	valid	1	TRAMA00000027171	TRAMM00000026172	APAAD00000040296	TRAMU00000025160	(MA,(MM,(AD,MU)));
ENSGT00390000009443	valid	1	APAMA00000050408	APAMM00000048153	APAAD00000038710	APAMU00000041492	(MA,(MM,(AD,MU)));
ENSGT00390000016934	valid	1	APAMA00000027539	APAMM00000026043	APAAD00000020972	APAMU00000022528	(MA,(MM,(AD,MU)));
ENSGT00390000017802	valid	1	TRAMA00000026250	APAMM00000032366	APAAD00000026127	APAMU00000027941	(MA,(MM,(AD,MU)));
ENSGT00390000013835	valid	1	APAMA00000062307	APAMM00000059690	APAAD00000048330	APAMU00000051649	(MA,(MM,(AD,MU)));
ENSGT00390000013817	valid	1	APAMA00000064744	APAMM00000061952	APAAD00000050031	APAMU00000053558	(MA,(MM,(AD,MU)));
ENSGT00450000040262	valid	1	APAMA00000005918	APAMM00000005729	APAAD00000004608	APAMU00000004923	(MA,(MM,(AD,MU)));
ENSGT00390000002049	valid	1	APAMA00000046671	TRAMM00000023441	APAAD00000035773	APAMU00000038425	(MA,(MM,(AD,MU)));
ENSGT00390000002049	valid	1	APAMA00000046666	APAMM00000044435	APAAD00000035776	TRAMU00000022530	(MA,(MM,(AD,MU)));
ENSGT00390000018141	valid	1	APAMA00000016871	APAMM00000015965	TRAAD00000028318	APAMU00000013697	(MA,(MM,(AD,MU)));
ENSGT00390000018706	valid	1	APAMA00000033831	APAMM00000032103	APAAD00000025867	APAMU00000027704	(MA,(MM,(AD,MU)));
ENSGT00390000007370	valid	1	TRAMA00000007622	APAMM00000020486	APAAD00000016470	APAMU00000017727	(MA,(MM,(AD,MU)));
ENSGT00390000010210	valid	1	APAMA00000048337	APAMM00000046095	TRAAD00000021163	APAMU00000039817	(MA,(MM,(AD,MU)));
ENSGT00530000062880	valid	1	TRAMA00000000442	APAMM00000000916	APAAD00000000713	APAMU00000000784	(MA,(MM,(AD,MU)));
ENSGT00530000062880	valid	1	APAMA00000000919	APAMM00000000927	APAAD00000000724	APAMU00000000794	(MA,(MM,(AD,MU)));
ENSGT00530000062880	valid	1	APAMA00000000924	APAMM00000000936	APAAD00000000718	APAMU00000000781	(MA,(MM,(AD,MU)));
ENSGT00390000003255	valid	1	APAMA00000000150	APAMM00000000166	APAAD00000000117	APAMU00000000135	(MA,(MM,(AD,MU)));
ENSGT00510000048522	valid	1	APAMA00000032723	TRAMM00000016199	TRAAD00000014237	APAMU00000026812	(MA,(MM,(AD,MU)));
ENSGT00550000075118	valid	1	APAMA00000021427	APAMM00000020341	TRAAD00000009189	APAMU00000017579	(MA,(MM,(AD,MU)));
ENSGT00730000111291	valid	1	APAMA00000048366	APAMM00000046121	APAAD00000037151	APAMU00000039838	(MA,(MM,(AD,MU)));
ENSGT00530000063609	valid	1	APAMA00000034810	APAMM00000033026	APAAD00000026617	APAMU00000028454	(MA,(MM,(AD,MU)));
ENSGT00530000063609	valid	1	APAMA00000034808	APAMM00000033028	APAAD00000026618	APAMU00000028451	(MA,(MM,(AD,MU)));
ENSGT00390000002579	valid	1	APAMA00000059566	APAMM00000057062	APAAD00000046139	APAMU00000049365	(MA,(MM,(AD,MU)));
ENSGT00390000008646	valid	1	APAMA00000019623	APAMM00000018601	APAAD00000015042	APAMU00000016150	(MA,(MM,(AD,MU)));
ENSGT00870000136483	valid	1	APAMA00000066942	APAMM00000064106	APAAD00000051690	APAMU00000055391	(MA,(MM,(AD,MU)));
ENSGT00870000136483	valid	1	TRAMA00000034639	APAMM00000064097	APAAD00000051694	APAMU00000055380	(MA,(MM,(AD,MU)));
ENSGT00390000004650	valid	1	TRAMA00000032050	APAMM00000059006	APAAD00000047743	APAMU00000050991	(MA,(MM,(AD,MU)));
ENSGT00880000137889	valid	1	APAMA00000050427	APAMM00000048174	APAAD00000038748	APAMU00000041522	(MA,(MM,(AD,MU)));
ENSGT00880000137889	valid	-1	TRAMA00000026220	APAMM00000048171	TRAAD00000021970	APAMU00000041516	(MU,(MA,(AD,MM)));
ENSGT00550000074915	valid	1	APAMA00000062000	APAMM00000059360	APAAD00000048051	APAMU00000051349	(MA,(MM,(AD,MU)));
ENSGT00510000048456	valid	1	APAMA00000021891	APAMM00000020753	APAAD00000016716	APAMU00000017982	(MA,(MM,(AD,MU)));
ENSGT00390000003924	valid	1	APAMA00000000405	APAMM00000000420	APAAD00000000310	APAMU00000000319	(MA,(MM,(AD,MU)));
ENSGT00390000014716	valid	1	APAMA00000036502	APAMM00000034621	APAAD00000027925	APAMU00000029897	(MA,(MM,(AD,MU)));
ENSGT00530000063148	valid	1	APAMA00000025173	APAMM00000023918	APAAD00000019245	APAMU00000020589	(MA,(MM,(AD,MU)));
ENSGT00530000063148	valid	1	APAMA00000025185	APAMM00000023932	TRAAD00000010853	TRAMU00000011820	(MA,(MM,(AD,MU)));
ENSGT00530000063148	valid	1	APAMA00000025176	APAMM00000023919	TRAAD00000010859	APAMU00000020601	(MA,(MM,(AD,MU)));
ENSGT00390000006196	valid	1	APAMA00000040235	APAMM00000038211	APAAD00000030829	APAMU00000033003	(MA,(MM,(AD,MU)));
ENSGT00710000106780	valid	1	APAMA00000008577	APAMM00000008259	APAAD00000006618	APAMU00000007147	(MA,(MM,(AD,MU)));
ENSGT00390000017639	valid	1	APAMA00000035100	APAMM00000033324	TRAAD00000015295	APAMU00000028735	(MA,(MM,(AD,MU)));
ENSGT00390000018422	valid	1	APAMA00000010226	TRAMM00000005059	TRAAD00000004415	APAMU00000008534	(MA,(MM,(AD,MU)));
ENSGT00390000000113	valid	-14	APAMA00000056645	APAMM00000054206	APAAD00000043766	APAMU00000046830	(MU,(MA,(AD,MM)));
ENSGT00550000074971	valid	1	APAMA00000054788	APAMM00000052478	TRAAD00000023961	APAMU00000045285	(MA,(MM,(AD,MU)));
ENSGT00390000005606	valid	1	APAMA00000012356	TRAMM00000006076	APAAD00000009489	APAMU00000010220	(MA,(MM,(AD,MU)));
ENSGT00500000044913	valid	1	APAMA00000046239	TRAMM00000026464	APAAD00000035448	APAMU00000038061	(MA,(MM,(AD,MU)));
ENSGT00410000025501	valid	1	APAMA00000035253	APAMM00000033457	APAAD00000026999	APAMU00000028874	(MA,(MM,(AD,MU)));
ENSGT00510000049261	valid	1	APAMA00000002980	APAMM00000002921	APAAD00000002381	APAMU00000002407	(MA,(MM,(AD,MU)));
ENSGT00390000009719	valid	1	APAMA00000029214	APAMM00000027686	APAAD00000022262	TRAMU00000002348	(MA,(MM,(AD,MU)));
ENSGT00390000000826	valid	1	APAMA00000053660	APAMM00000051291	APAAD00000041328	TRAMU00000025817	(MA,(MM,(AD,MU)));
ENSGT00760000118841	valid	1	APAMA00000036541	APAMM00000034653	APAAD00000027950	APAMU00000029952	(MA,(MM,(AD,MU)));
ENSGT00760000118841	valid	1	TRAMA00000009584	APAMM00000034657	APAAD00000027951	TRAMU00000008984	(MA,(MM,(AD,MU)));
ENSGT00760000118841	valid	1	APAMA00000036554	APAMM00000034661	TRAAD00000008264	APAMU00000029925	(MA,(MM,(AD,MU)));
ENSGT00760000118841	valid	1	APAMA00000036543	APAMM00000034652	APAAD00000027948	APAMU00000029924	(MA,(MM,(AD,MU)));
ENSGT00760000118841	valid	1	APAMA00000036544	APAMM00000034654	APAAD00000027967	APAMU00000029953	(MA,(MM,(AD,MU)));
ENSGT00760000118841	valid	1	APAMA00000036529	APAMM00000034656	APAAD00000027968	TRAMU00000008978	(MA,(MM,(AD,MU)));
ENSGT00760000118841	valid	1	APAMA00000036551	APAMM00000034685	APAAD00000027960	APAMU00000029937	(MA,(MM,(AD,MU)));
ENSGT00760000118841	valid	1	APAMA00000036545	APAMM00000034655	APAAD00000027964	APAMU00000029947	(MA,(MM,(AD,MU)));
ENSGT00760000118841	valid	1	APAMA00000036556	APAMM00000034667	APAAD00000027954	APAMU00000029948	(MA,(MM,(AD,MU)));
ENSGT00760000118841	valid	1	APAMA00000036532	APAMM00000034681	APAAD00000027956	APAMU00000029935	(MA,(MM,(AD,MU)));
ENSGT00760000118841	valid	1	APAMA00000036558	APAMM00000034672	APAAD00000027952	APAMU00000029931	(MA,(MM,(AD,MU)));
ENSGT00390000016551	valid	1	APAMA00000062648	APAMM00000060038	APAAD00000048599	APAMU00000051900	(MA,(MM,(AD,MU)));
ENSGT00840000129866	valid	1	APAMA00000009835	APAMM00000009404	APAAD00000007565	APAMU00000008221	(MA,(MM,(AD,MU)));
ENSGT00840000129866	valid	1	TRAMA00000004984	APAMM00000009402	TRAAD00000004229	APAMU00000008220	(MA,(MM,(AD,MU)));
ENSGT00390000003967	valid	1	APAMA00000005337	APAMM00000005209	APAAD00000004177	APAMU00000004429	(MA,(MM,(AD,MU)));
ENSGT00890000139446	valid	1	APAMA00000020876	TRAMM00000010279	APAAD00000015899	APAMU00000017151	(MA,(MM,(AD,MU)));
ENSGT00890000139446	valid	1	APAMA00000020869	TRAMM00000010280	APAAD00000015905	APAMU00000017155	(MA,(MM,(AD,MU)));
ENSGT00390000007885	valid	1	APAMA00000000042	APAMM00000000029	TRAAD00000014647	TRAMU00000016053	(MA,(MM,(AD,MU)));
ENSGT00390000016823	valid	1	APAMA00000045487	APAMM00000043356	APAAD00000034892	APAMU00000037467	(MA,(MM,(AD,MU)));
ENSGT00500000044926	valid	1	APAMA00000024081	APAMM00000022915	TRAAD00000010375	TRAMU00000011306	(MA,(MM,(AD,MU)));
ENSGT00390000006213	valid	1	TRAMA00000026739	APAMM00000049103	APAAD00000039546	TRAMU00000024755	(MA,(MM,(AD,MU)));
ENSGT00390000006213	valid	1	TRAMA00000026737	APAMM00000049100	APAAD00000039548	APAMU00000042373	(MA,(MM,(AD,MU)));
ENSGT00870000136543	valid	1	APAMA00000021000	APAMM00000019931	APAAD00000015972	APAMU00000017238	(MA,(MM,(AD,MU)));
ENSGT00560000077332	valid	1	TRAMA00000027432	APAMM00000050501	APAAD00000040689	TRAMU00000025401	(MA,(MM,(AD,MU)));
ENSGT00390000013187	valid	1	APAMA00000007228	APAMM00000007016	APAAD00000005596	APAMU00000005983	(MA,(MM,(AD,MU)));
ENSGT00390000000444	valid	1	APAMA00000027577	APAMM00000026078	APAAD00000020993	APAMU00000022581	(MA,(MM,(AD,MU)));
ENSGT00490000043406	valid	1	APAMA00000035205	APAMM00000033414	TRAAD00000015335	APAMU00000028839	(MA,(MM,(AD,MU)));
ENSGT00840000129887	valid	1	APAMA00000026184	APAMM00000024775	APAAD00000019920	APAMU00000021401	(MA,(MM,(AD,MU)));
ENSGT00390000017765	valid	1	APAMA00000016604	APAMM00000015716	APAAD00000012657	APAMU00000013474	(MA,(MM,(AD,MU)));
ENSGT00390000008688	valid	1	APAMA00000015236	APAMM00000014355	APAAD00000011613	APAMU00000012357	(MA,(MM,(AD,MU)));
ENSGT00440000037511	valid	1	APAMA00000033852	APAMM00000032124	APAAD00000025879	APAMU00000027721	(MA,(MM,(AD,MU)));
ENSGT00440000037511	valid	1	APAMA00000033856	APAMM00000032136	APAAD00000025891	APAMU00000027727	(MA,(MM,(AD,MU)));
ENSGT00440000037511	valid	1	APAMA00000033846	TRAMM00000016795	APAAD00000025881	APAMU00000027719	(MA,(MM,(AD,MU)));
ENSGT00550000074800	valid	1	TRAMA00000007179	APAMM00000013743	APAAD00000011134	APAMU00000011868	(MA,(MM,(AD,MU)));
ENSGT00550000075012	valid	1	APAMA00000033183	TRAMM00000016474	APAAD00000025392	APAMU00000027236	(MA,(MM,(AD,MU)));
ENSGT00390000009677	valid	1	APAMA00000047389	APAMM00000045170	APAAD00000036375	APAMU00000039000	(MA,(MM,(AD,MU)));
ENSGT00390000005895	valid	1	APAMA00000064697	APAMM00000061887	APAAD00000049990	APAMU00000053505	(MA,(MM,(AD,MU)));
ENSGT00530000063254	valid	1	APAMA00000012800	APAMM00000012131	APAAD00000009829	APAMU00000010543	(MA,(MM,(AD,MU)));
ENSGT00530000063254	valid	1	APAMA00000012773	APAMM00000012125	APAAD00000009812	TRAMU00000006232	(MA,(MM,(AD,MU)));
ENSGT00530000063254	valid	1	APAMA00000012786	APAMM00000012117	APAAD00000009823	TRAMU00000006233	(MA,(MM,(AD,MU)));
ENSGT00390000008738	valid	1	APAMA00000040159	APAMM00000038152	APAAD00000030777	APAMU00000032965	(MA,(MM,(AD,MU)));
ENSGT00530000063138	valid	1	APAMA00000054565	APAMM00000052218	APAAD00000042058	APAMU00000045060	(MA,(MM,(AD,MU)));
ENSGT00530000063138	valid	1	APAMA00000054574	APAMM00000052229	APAAD00000042067	APAMU00000045062	(MA,(MM,(AD,MU)));
ENSGT00530000063138	valid	1	APAMA00000054556	APAMM00000052224	APAAD00000042063	APAMU00000045070	(MA,(MM,(AD,MU)));
ENSGT00550000074411	valid	1	APAMA00000005189	APAMM00000005070	TRAAD00000002348	APAMU00000004302	(MA,(MM,(AD,MU)));
ENSGT00550000074411	valid	1	TRAMA00000002656	APAMM00000005083	TRAAD00000002346	APAMU00000004313	(MA,(MM,(AD,MU)));
ENSGT00550000074411	valid	1	APAMA00000005196	APAMM00000005058	TRAAD00000002343	APAMU00000004305	(MA,(MM,(AD,MU)));
ENSGT00550000074411	valid	1	APAMA00000005207	TRAMM00000015365	APAAD00000004086	APAMU00000004308	(MA,(MM,(AD,MU)));
ENSGT00880000137973	valid	-1	TRAMA00000012712	APAMM00000009175	APAAD00000007369	APAMU00000007982	(MA,(MU,(AD,MM)));
ENSGT00420000029890	valid	1	APAMA00000062391	APAMM00000059786	APAAD00000048402	APAMU00000051708	(MA,(MM,(AD,MU)));
ENSGT00530000063834	valid	1	APAMA00000056021	APAMM00000053573	APAAD00000043230	APAMU00000046256	(MA,(MM,(AD,MU)));
ENSGT00530000063834	valid	1	APAMA00000056022	APAMM00000053575	APAAD00000043232	APAMU00000046252	(MA,(MM,(AD,MU)));
ENSGT00530000063675	valid	1	APAMA00000000294	TRAMM00000000132	APAAD00000000229	APAMU00000000227	(MA,(MM,(AD,MU)));
ENSGT00530000063675	valid	1	APAMA00000000297	APAMM00000000301	APAAD00000000231	APAMU00000000224	(MA,(MM,(AD,MU)));
ENSGT00530000063443	valid	1	APAMA00000032537	APAMM00000030852	APAAD00000024839	APAMU00000026642	(MA,(MM,(AD,MU)));
ENSGT00530000063443	valid	1	APAMA00000032536	APAMM00000030854	APAAD00000024840	APAMU00000026640	(MA,(MM,(AD,MU)));
ENSGT00390000014062	valid	1	APAMA00000017756	TRAMM00000018411	APAAD00000013535	APAMU00000014444	(MA,(MM,(AD,MU)));
ENSGT00530000063385	valid	1	APAMA00000065209	APAMM00000062408	APAAD00000050381	APAMU00000053961	(MA,(MM,(AD,MU)));
ENSGT00530000063385	valid	1	APAMA00000065214	APAMM00000062414	APAAD00000050383	TRAMU00000026265	(MA,(MM,(AD,MU)));
ENSGT00530000063385	valid	1	APAMA00000065217	TRAMM00000027246	TRAAD00000023846	APAMU00000053957	(MA,(MM,(AD,MU)));
ENSGT00390000005939	valid	1	APAMA00000050328	APAMM00000048081	APAAD00000038646	APAMU00000041411	(MA,(MM,(AD,MU)));
ENSGT00390000005939	valid	1	APAMA00000050327	APAMM00000048079	APAAD00000038647	APAMU00000041412	(MA,(MM,(AD,MU)));
ENSGT00390000012029	valid	1	APAMA00000024391	APAMM00000023187	APAAD00000018673	APAMU00000019996	(MA,(MM,(AD,MU)));
ENSGT00390000013287	valid	1	TRAMA00000017871	TRAMM00000017153	APAAD00000026459	TRAMU00000016620	(MA,(MM,(AD,MU)));
ENSGT00390000000464	valid	1	APAMA00000011071	APAMM00000010571	APAAD00000008539	APAMU00000009205	(MA,(MM,(AD,MU)));
ENSGT00440000033777	valid	-1	APAMA00000007889	APAMM00000007643	TRAAD00000003474	TRAMU00000003931	((MA,MM),(AD,MU));
ENSGT00390000000786	valid	1	APAMA00000018911	APAMM00000017933	APAAD00000014491	APAMU00000015502	(MA,(MM,(AD,MU)));
ENSGT00390000014400	valid	1	APAMA00000025976	APAMM00000024603	APAAD00000019790	APAMU00000021237	(MA,(MM,(AD,MU)));
ENSGT00390000014400	valid	1	APAMA00000025971	APAMM00000024608	APAAD00000019787	APAMU00000021241	(MA,(MM,(AD,MU)));
ENSGT00770000120599	valid	1	APAMA00000028597	APAMM00000027118	APAAD00000021807	APAMU00000023396	(MA,(MM,(AD,MU)));
ENSGT00770000120599	valid	1	APAMA00000028595	TRAMM00000014050	APAAD00000021810	APAMU00000023399	(MA,(MM,(AD,MU)));
ENSGT00390000007962	valid	1	TRAMA00000032175	TRAMM00000016129	TRAAD00000027020	TRAMU00000015583	(MA,(MM,(AD,MU)));
ENSGT00390000012403	valid	1	APAMA00000012493	TRAMM00000000632	APAAD00000009596	APAMU00000010316	(MA,(MM,(AD,MU)));
ENSGT00390000013174	valid	1	APAMA00000039040	APAMM00000037045	APAAD00000029870	APAMU00000032062	(MA,(MM,(AD,MU)));
ENSGT00530000063565	valid	1	TRAMA00000020962	APAMM00000038295	APAAD00000030902	APAMU00000033091	(MA,(MM,(AD,MU)));
ENSGT00530000063565	valid	1	APAMA00000040301	APAMM00000038294	APAAD00000030895	APAMU00000033082	(MA,(MM,(AD,MU)));
ENSGT00390000014876	valid	1	APAMA00000032926	TRAMM00000016320	APAAD00000025155	APAMU00000026980	(MA,(MM,(AD,MU)));
ENSGT00430000031214	valid	1	TRAMA00000015725	APAMM00000029115	APAAD00000023386	APAMU00000025124	(MA,(MM,(AD,MU)));
ENSGT00430000031214	valid	1	APAMA00000030725	APAMM00000029114	APAAD00000023387	APAMU00000025127	(MA,(MM,(AD,MU)));
ENSGT00390000013916	valid	1	APAMA00000038537	APAMM00000036525	APAAD00000029491	APAMU00000031595	(MA,(MM,(AD,MU)));
ENSGT00390000002062	valid	1	APAMA00000049081	APAMM00000046823	APAAD00000037689	APAMU00000040414	(MA,(MM,(AD,MU)));
ENSGT00530000062970	valid	1	APAMA00000008101	APAMM00000007847	APAAD00000006282	APAMU00000006770	(MA,(MM,(AD,MU)));
ENSGT00530000062970	valid	1	APAMA00000008102	APAMM00000007852	TRAAD00000003609	APAMU00000006769	(MA,(MM,(AD,MU)));
ENSGT00390000003115	valid	1	APAMA00000054491	APAMM00000052141	APAAD00000042004	APAMU00000045005	(MA,(MM,(AD,MU)));
ENSGT00390000003209	valid	1	APAMA00000037100	APAMM00000035163	APAAD00000028346	APAMU00000030403	(MA,(MM,(AD,MU)));
ENSGT00390000002216	valid	1	APAMA00000014802	TRAMM00000007203	APAAD00000011329	APAMU00000012068	(MA,(MM,(AD,MU)));
ENSGT00550000074818	valid	1	APAMA00000048227	APAMM00000045961	APAAD00000037027	APAMU00000039714	(MA,(MM,(AD,MU)));
ENSGT00390000017006	valid	1	TRAMA00000016052	APAMM00000051850	TRAAD00000023695	APAMU00000044737	(MA,(MM,(AD,MU)));
